ID,Область,Місто/СМТ,Категорія,Назва,Адреса,Телефон,Ціна,Instagram,Google Maps,Басейн,Будинок,Альтанка,Чан,Сауна/Баня,Рибалка,Для двох,Для компанії,Басейн сезонний,Басейн цілорічний
61,Вінницька,Никифорівці,База відпочинку,Зелений Хомяк,Никифорівці,096-949-89-89,"від 4000,00 грн/доба",https://www.instagram.com/zelenyi_homyak_vn/,"https://www.google.com/maps?q=49.0348740,28.7199545&entry=gps&lucs=,94224825,94227247,94227248,47071704,47069508,94218641,94203019,47084304,94208458,94208447&g_ep=CAISDTYuMTIzLjAuNzEzODAYACDXggMqWiw5NDIyNDgyNSw5NDIyNzI0Nyw5NDIyNzI0OCw0NzA3MTcwNCw0NzA2OTUwOCw5NDIxODY0MSw5NDIwMzAxOSw0NzA4NDMwNCw5NDIwODQ1OCw5NDIwODQ0N0ICVUE%3D&g_st=com.google.maps.preview.copy",так,так,так,ні,ні,ні,так,так,так,ні
62,Вінницька,Стрижавка,Заміський комплекс,Pamukkale,"вул.Шкільна,44",096-595-28-68,"від 1300,00 грн/доба",https://www.instagram.com/pamukkale_vin/,"https://www.google.com/maps/place/%D0%9F%D0%B0%D0%BC%D1%83%D0%BA%D0%BA%D0%B0%D0%BB%D0%B5+%D0%92%D1%96%D0%BD%D0%BD%D0%B8%D1%86%D1%8F/@49.2762022,28.588477,17z/data=!3m1!4b1!4m6!3m5!1s0x472d451282a83d21:0x308594a573cdf566!8m2!3d49.2762022!4d28.588477!16s%2Fg%2F11jny7yh75?entry=ttu&g_ep=EgoyMDI2MDcxNS4wIKXMDSoASAFQAw%3D%3D",ні,так,так,так,так,так,ні,ні,ні,ні
63,вінницька,Лука-Мелешківська,Заміський комплекс,Luka Park,"вул.Володимирівська,40",096-578-18-87,"від 15000,00 грн/доба",https://www.instagram.com/luka.park.ua/,"https://www.google.com/maps?daddr=49.1794207,28.4766139&saddr=49.2208283,28.4252524&dirflg=d&geocode=FdwM7wIdJLyxAQ%3D%3D;FR1r7gIdxoSyAQ%3D%3D&lucs=,94242562,94224825,94227247,94227248,47071704,47069508,94218641,94203019,47084304,94208458,94208447&g_ep=CAISDTYuMTM3LjEuODkyMDAYACCUnAEqYyw5NDI0MjU2Miw5NDIyNDgyNSw5NDIyNzI0Nyw5NDIyNzI0OCw0NzA3MTcwNCw0NzA2OTUwOCw5NDIxODY0MSw5NDIwMzAxOSw0NzA4NDMwNCw5NDIwODQ1OCw5NDIwODQ0N0ICVUE%3D&g_st=ic",так,так,так,так,так,ні,так,так,так,ні
64,вінницька,Щітки,Оренда подобово,VILLA Country LODGE,"вул.Садова,4б",067-430-02-04,"від 17000,00 грн/доба",https://www.instagram.com/country.lodge.vin/,"https://www.google.com/maps?q=Villa+Country+Lodge,+%D0%B2%D1%83%D0%BB%D0%B8%D1%86%D1%8F+%D0%A1%D0%B0%D0%B4%D0%BE%D0%B2%D0%B0,+4%D0%B1,+%D0%A9%D1%96%D1%82%D0%BA%D0%B8,+%D0%92%D1%96%D0%BD%D0%BD%D0%B8%D1%86%D1%8C%D0%BA%D0%B0+%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D1%8C,+23206&ftid=0x472d51efdb2fca83:0x9c6f41b64aee8720&entry=gps&lucs=,94282334,94284511,94224825,94227247,94227248,94231188,47071704,47069508,94218641,94282134,94203019,47084304,94286869&g_ep=CAISEjI1LjMzLjIuNzkzNTkyNzA0MBgAINeCAyp1LDk0MjgyMzM0LDk0Mjg0NTExLDk0MjI0ODI1LDk0MjI3MjQ3LDk0MjI3MjQ4LDk0MjMxMTg4LDQ3MDcxNzA0LDQ3MDY5NTA4LDk0MjE4NjQxLDk0MjgyMTM0LDk0MjAzMDE5LDQ3MDg0MzA0LDk0Mjg2ODY5QgJVQQ%3D%3D&skid=7ea40fad-ff90-42af-84e9-318071d4e830&g_st=ipc",так,так,так,ні,ні,ні,так,ні,так,ні
65,Вінницька,Глибочок,Оренда подобово,Тиша над Бугом,вул.Набережна,в директ,"від 5000,00 грн/доба",https://www.instagram.com/tysha_nad_bugom/,"https://www.google.com/maps/place/%D0%93%D0%BB%D0%B8%D0%B1%D0%BE%D1%87%D0%BE%D0%BA,+%D0%92%D1%96%D0%BD%D0%BD%D0%B8%D1%86%D1%8C%D0%BA%D0%B0+%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D1%8C,+24340/@48.5344096,29.3756241,13.44z/data=!4m6!3m5!1s0x40cd9ee69fec2c71:0xd72d7994f369e882!8m2!3d48.5366202!4d29.4026954!16s%2Fg%2F122fck9g?entry=ttu&g_ep=EgoyMDI2MDcxOS4wIKXMDSoASAFQAw%3D%3D",ні,так,так,ні,ні,так,так,ні,ні,ні
66,Вінницька,Степашки,База відпочинку,Gol&Wood,Степашки,099-333-20-55,"від 5000,00 грн/доба",https://www.instagram.com/golwood/,"https://www.google.com/maps/place/GOL%26Wood/@48.718338,29.1534005,17z/data=!3m1!4b1!4m9!3m8!1s0x40cd6f9aaa2eb253:0xf6df4e9c0cd44a71!5m2!4m1!1i2!8m2!3d48.718338!4d29.1534005!16s%2Fg%2F11grtytph5?entry=ttu&g_ep=EgoyMDI2MDcxOS4wIKXMDSoASAFQAw%3D%3D",ні,так,так,так,так,так,ні,так,так,ні
67,Вінницька,Мізяківскька Слобідка,Глемпінг,Slobidka,"вул.Лісова,55",093-477-62-32,"від 5500,00 грн/доба",https://www.instagram.com/slobidka__glamping/,"https://www.google.com/maps?q=49.4022778,28.4057222&entry=gps&lucs=,94275415,94284490,94231188,94280568,47071704,94218641,94282134,94286869&g_ep=CAISEjI1LjM2LjMuODAxODg5NTgzMBgAIIgnKkgsOTQyNzU0MTUsOTQyODQ0OTAsOTQyMzExODgsOTQyODA1NjgsNDcwNzE3MDQsOTQyMTg2NDEsOTQyODIxMzQsOTQyODY4NjlCAlVB&skid=988600a7-028a-41c5-bbe4-a77d64d27630&g_st=ipc",ні,так,ні,так,ні,так,ні,ні,ні,ні
68,Вінницька,Печера,Заміський комплекс,Вечори в Печорі,"вул.Олександра Москалюка,2",067-714-77-00,"від 5000,00 грн/доба",https://www.instagram.com/evenings_in_pechora/,"https://www.google.com/maps?q=48.8450000,28.7297500&entry=gps&lucs=,94275415,94224825,94227247,94227248,94231188,47071704,47069508,94218641,94203019,47084304&g_ep=CAISEjI1LjI0LjEuNzY5MjczNTU2MBgAIIgnKlosOTQyNzU0MTUsOTQyMjQ4MjUsOTQyMjcyNDcsOTQyMjcyNDgsOTQyMzExODgsNDcwNzE3MDQsNDcwNjk1MDgsOTQyMTg2NDEsOTQyMDMwMTksNDcwODQzMDRCAlVB&skid=0fbcb223-e04a-487e-a922-3fbef852e159&g_st=com.google.maps.preview.copy",так,так,так,так,так,ні,так,так,так,ні
69,Вінницька,Вінниця,Басейн коплекс,DriveClub,"вул.Зулинского,42а",096-431-21-91  067-777-71-16  096-393-77-77,"від 600,00 грн",https://www.instagram.com/driveclub.rest/,"https://www.google.com/maps?q=Drive+Club,+%D0%B2%D1%83%D0%BB%D0%B8%D1%86%D1%8F+%D0%A1%D0%B5%D1%80%D0%B3%D1%96%D1%8F+%D0%97%D1%83%D0%BB%D1%96%D0%BD%D1%81%D1%8C%D0%BA%D0%BE%D0%B3%D0%BE,+42a,+%D0%92%D1%96%D0%BD%D0%BD%D0%B8%D1%86%D1%8F,+%D0%92%D1%96%D0%BD%D0%BD%D0%B8%D1%86%D1%8C%D0%BA%D0%B0+%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D1%8C,+21000&ftid=0x472d44a496a27d0f:0x81f6ef63a466902d&hl=ru-UA&gl=ua&entry=gps&g_ep=CAIYAA%3D%3D&shorturl=1",так,так,так,ні,так,ні,так,так,так,ні
70,Хмельницька,Меджибіж,Оренда подобово,Дика Риба,Меджибіж,067-275-75-37,"від 6500,00 грн/доба",https://www.instagram.com/wild_fish_lake/,"https://www.google.com/maps?q=%D0%94%D0%B8%D0%BA%D0%B0+%D0%A0%D0%B8%D0%B1%D0%B0,+%D0%A5%D0%BC%D0%B5%D0%BB%D1%8C%D0%BD%D0%B8%D1%86%D1%8C%D0%BA%D0%B0+%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D1%8C,+%D0%A3%D0%BA%D1%80%D0%B0%D0%B8%D0%BD%D0%B0&ftid=0x472d8b4bd518343b:0xd57e66cb71eaa788&hl=ru-UA&gl=ua&entry=gps&g_ep=CAISBjYuMzQuMxgAIKzfAQ%3D%3D&g_st=ic",ні,так,так,так,так,так,так,ні,ні,ні
71,Вінницька,Гавришівка,Оренда подобово,Dona Familia,"вул.Лесі Украінки,47",093-027-37-26,"від 18000,00 грн/доба",https://www.instagram.com/dona.familia/,"https://www.google.com/maps?q=Dona+Familia,+Vulytsya+Lesi+Ukrayinky,+47,+Havryshivka,+Vinnytsia+Oblast,+23202&ftid=0x472d4f0061c21adf:0x6b2b5eb97b7356ba&entry=gps&shh=CAE&lucs=,94297699,94284469,94231188,94280568,47071704,94266209,94218641,94282134,94286869,100796593&g_ep=CAISEjI2LjA4LjIuODcwOTc4MTE2MBgAIIgnKlssOTQyOTc2OTksOTQyODQ0NjksOTQyMzExODgsOTQyODA1NjgsNDcwNzE3MDQsOTQyNjYyMDksOTQyMTg2NDEsOTQyODIxMzQsOTQyODY4NjksMTAwNzk2NTkzQgJVQQ%3D%3D&skid=25bd6ca8-4f37-47fb-b1ae-864c0102490e&g_st=ic",так,так,так,так,так,ні,так,так,так,ні
72,Вінницька,Якушинці,Оренда подобово,Family Lake,Якушинці,063-537-88-87,"від 8000,00 грн/доба",https://www.instagram.com/family_lake_vn/,"https://www.google.com/maps/place/49%C2%B016'50.7%22N+28%C2%B020'43.1%22E/@49.2807614,28.3427377,17z/data=!3m1!4b1!4m4!3m3!8m2!3d49.2807614!4d28.3453126?entry=ttu&g_ep=EgoyMDI2MDcxOS4wIKXMDSoASAFQAw%3D%3D",ні,так,так,так,так,так,так,ні,ні,ні
73,Вінницька,Дашківці,Оренда подобово,Калина,Дашківці,068-016-38-48,"від 5000,00 грн/доба",https://www.instagram.com/etno_sadybakalyna/,google.com/maps?sca_esv=7cd595ac914176fe&output=search&q=етно+садиба+калина&source=lnms&fbs=ABfTbFXRcstjE6Qki7qvwNNfvNnlQZsk7c_TqpGZvoXbrTmONgMaadRDyUOSm9s4GpauD_kAZNQyj0EO2LjtgLV_P6FMILozLiZUxtCK6VoyfvsKoPOEilYWOhkjpljXuvCQws88Z6Xf8VNvOdlfB0qI4a9r2jNn87OWPfN215s4ezfaWU-zKHOQDWqLmvB10MWp4I8feq1CblFzi2OZM1M4-XNi15bR8gYVFhEILIYTAoGtGigHYEYD0byeox6rxrEKvbHBcY096ZRXhDu_N5Djn8Lu_OZ6tQ&entry=mc&ved=1t:200715&ictx=111,так,так,так,так,так,ні,так,ні,так,ні
74,Вінницька,Сокільці,Оренда подобово,Мобі Дік,"вул.Шевченка,20",067-727-87-38  067-954-85-50,"від 3500,00 грн/доба",https://www.instagram.com/moby_dick777/,"https://www.google.com/maps/place/%D0%A1%D0%BE%D0%BA%D1%96%D0%BB%D1%8C%D1%86%D1%96,+%D0%92%D1%96%D0%BD%D0%BD%D0%B8%D1%86%D1%8C%D0%BA%D0%B0+%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D1%8C,+23700/@48.789095,29.1289085,16z/data=!3m1!4b1!4m6!3m5!1s0x40cd6684ebce5425:0x12f9613a3457a3d2!8m2!3d48.7891468!4d29.1294534!16s%2Fg%2F12136263?entry=ttu&g_ep=EgoyMDI2MDcxOS4wIKXMDSoASAFQAw%3D%3D",ні,так,так,ні,так,так,ні,так,ні,ні
75,Вінницька,Обїзне шосе,Готельно-рестораний комплекс,Божедар,Обїзне шосе,098-055-12-12,"від 500,00 грн",https://www.instagram.com/bozhedar_vin/,"https://www.google.com/maps/dir//%D0%91%D0%9E%D0%96%D0%95%D0%94%D0%90%D0%A0,+%D0%9E%D0%B1'%D1%97%D0%B7%D0%BD%D0%B5+%D1%88%D0%BE%D1%81%D0%B5,+%D0%92%D1%96%D0%BD%D0%BD%D0%B8%D1%86%D1%8F,+%D0%92%D1%96%D0%BD%D0%BD%D0%B8%D1%86%D1%8C%D0%BA%D0%B0+%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D1%8C,+21000/@49.2210579,28.3951038,12z/data=!4m8!4m7!1m0!1m5!1m1!1s0x472d5dfda5d75587:0xd298f165fef8e91f!2m2!1d28.4240621!2d49.262122?entry=ttu&g_ep=EgoyMDI2MDcxOS4wIKXMDSoASAFQAw%3D%3D",ні,так,так,ні,ні,ні,так,так,ні,ні
76,Вінницька,Вороновиця,Заміський комплекс,Воронталія,Вороновиця,093-502-41-26,"від 600,00 грн",https://www.instagram.com/vorontalia.vin/,google.com/maps?sca_esv=7cd595ac914176fe&output=search&q=воронталія&source=lnms&fbs=ABfTbFVIi9k-mbTAj7CH-OQ94GaekNZRZjP8dAZepX_AVORvGxEEKrc7emumnZPWyRCKxn92x-Og1jhzhfT2uP_mgL7lRT0JfqjgxIlfEP2s-SwxHifQ6CleZPi9NHBXDJi5SdROT71dDXN5BG3s3ho59DWeaO9AIFPa8CKEyqSQTpPyHhECzZtcCYMTPHiU0KH5KYzUe2dhkHI-0Bg4i0f5EKhQXknVMAK07XBQ1rp9aL8Mm9nuN3GUWEA95hm7mFqsHRi2d57DB3RXQiH45Qa3X4NjhuyACw&entry=mc&ved=1t:200715&ictx=111,так,так,так,так,так,ні,так,так,так,ні
77,Вінницька,Філіопіль,Заміський комплекс,Нова Січ,"вул.Центральна,1",098-164-87-77  093-075-37-77,"від 4600,00 грн/доба",https://www.instagram.com/novasichclub/,"google.com/maps?q=""Нова+Січ""+-+клуб+сімейного+та+бізнес+відпочинку,+Центральна,+1,+Філіопіль,+Вінницька+область,+22063&ftid=0x472da136f19059bd:0x11666ef95dbdb615&hl=uk-UA&gl=ua&entry=gps&g_ep=CAISBjYuNjQuMxgAINeCA0ICVUE%3D&g_st=it",так,так,так,так,так,так,ні,так,так,ні
78,Вінницька,Хмільник,Заміський комплекс,Rado Hotel&SPA,"вул.Курортна,10б",097-431-77-11,"від 4800,00 грн/доба",https://www.instagram.com/rado.hotel/,"https://www.google.com/maps/place/Rado+hotel+%26+spa/@49.5224745,27.9355165,17z/data=!3m1!4b1!4m9!3m8!1s0x472d9f075d1601c1:0x4e3db135b7074245!5m2!4m1!1i2!8m2!3d49.5224745!4d27.9355165!16s%2Fg%2F11vrtt4646?entry=ttu&g_ep=EgoyMDI2MDcxOS4wIKXMDSoASAFQAw%3D%3D",так,так,ні,ні,так,ні,так,ні,так,так
79,Вінницька,Вінниця,Заміський комплекс,Тропіканка,вул.Будівельників,097-346-33-41,"від 500,00 грн",https://www.instagram.com/restaurant_hotel_tropikanka/,"https://www.google.com/maps/place/%D0%A2%D1%80%D0%BE%D0%BF%D1%96%D0%BA%D0%B0%D0%BD%D0%BA%D0%B0/@49.2006261,28.4832174,17z/data=!3m1!4b1!4m6!3m5!1s0x472d5bb4227b538b:0x299e7166dd6ea2d8!8m2!3d49.2006261!4d28.4857923!16s%2Fg%2F11cmh46r9p?entry=ttu&g_ep=EgoyMDI2MDcxOS4wIKXMDSoASAFQAw%3D%3D",ні,так,так,ні,ні,так,ні,так,ні,ні
80,Вінницька,Вінниця,Басейн коплекс,Safari,"вул.Героів Поліціі,28",096-890-89-89,"від 600,00 грн",https://www.instagram.com/safari_club_vn/,"https://www.google.com/maps/place/%D0%A1%D0%B0%D1%84%D0%B0%D1%80%D1%96/@49.2301,28.4447732,17z/data=!3m1!4b1!4m9!3m8!1s0x472d5c809321d8eb:0x6ada25e844af9b96!5m2!4m1!1i2!8m2!3d49.2301!4d28.4473481!16s%2Fg%2F1ths835y?entry=ttu&g_ep=EgoyMDI2MDcxOS4wIKXMDSoASAFQAw%3D%3D",так,ні,так,так,так,ні,так,так,так,ні
